LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C437593,1N4005W,Shandong Jingdao Microelectronics,SOD-123FL,,1A Independent Type 600V 1.1V@1A SOD-123FL Diodes - General Purpose ROHS,yes,100,100,0.0064,0.64,https://www.lcsc.com/product-detail/diodes-general-purpose_shandong-jingdao-microelectronics-1n4005w_C437593.html
C423084,0603WAD1212T5E,UNI-ROYAL(Uniroyal Elec),0603,,100mW Thick Film Resistors 75V ±100ppm/℃ ±0.5% 12.1kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0038,0.38,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0603wad1212t5e_C423084.html
C130723,NCD0402G1,Foshan NationStar Optoelectronics,0402,,20mA Colorless Transparent Lens 100mcd~270mcd 515nm~530nm -30℃~+85℃ Emerald 130° 72mW 2.6V~3.6V 0402 LED Indication - Discrete ROHS,yes,60,20,0.0360,2.16,https://www.lcsc.com/product-detail/led-indication-discrete_foshan-nationstar-optoelectronics-ncd0402g1_C130723.html
C908655,ES1J,GOODWORK,SMA(DO-214AC),,1.7V@1A 35ns Independent Type 1A 600V SMA(DO-214AC) Fast Recovery / High Efficiency Diodes ROHS,yes,50,50,0.0089,0.45,https://www.lcsc.com/product-detail/fast-recovery-high-efficiency-diodes_goodwork-es1j_C908655.html
C138033,RC0402FR-071ML,YAGEO,0402,,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc0402fr-071ml_C138033.html
C724292,YNR5040-471M,YJYCOIN,"SMD,5x5mm",,"470uH ±20% SMD,5x5mm Power Inductors ROHS",yes,5,5,0.0566,0.28,https://www.lcsc.com/product-detail/power-inductors_yjycoin-ynr5040-471m_C724292.html
C2063,KM227M035F12RR0VH2FP0,CX(Dongguan Chengxing Elec),"Plugin,D8xL12mm",,"220uF 35V ±20% Plugin,D8xL12mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,10,0.0334,0.33,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-leaded_cx-dongguan-chengxing-elec-km227m035f12rr0vh2fp0_C2063.html
C403100,ERJ3EKF2491V,PANASONIC,0603,,100mW Thick Film Resistors ±100ppm/℃ ±1% 2.49kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0049,0.49,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_panasonic-erj3ekf2491v_C403100.html
C400682,ERJ3GEYJ273V,PANASONIC,0603,,100mW Thick Film Resistors ±5% ±200ppm/℃ 27kΩ 0603 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0050,0.50,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_panasonic-erj3geyj273v_C400682.html
C96113,PDS760-13,Diodes Incorporated,Power-DI-5,,60V 620mV@7A 7A Power-DI-5 Schottky Diodes ROHS,yes,15,5,0.3345,5.02,https://www.lcsc.com/product-detail/schottky-diodes_diodes-incorporated-pds760-13_C96113.html
C2897366,PM254-1-03-Z-8.5,HCTL,"Plugin,P=2.54mm",,"2.54mm Single Row 3A Copper alloy 3P -40℃~+105℃ Direct Insert 1x3P 8.5mm Top Square Hole Plugin,P=2.54mm Female Headers ROHS",yes,5,5,0.0877,0.44,https://www.lcsc.com/product-detail/female-headers_hctl-pm254-1-03-z-8-5_C2897366.html
C7423107,SK6812MINIRGBW-NW-P6,OPSCO Optoelectronics,"SMD,3.5x3.7mm",,"SMD,3.5x3.7mm RGB LEDs(Built-in IC) ROHS",yes,20,5,0.1164,2.33,https://www.lcsc.com/product-detail/rgb-leds-built-in-ic_opsco-optoelectronics-sk6812minirgbw-nw-p6_C7423107.html
C130719,NCD0402R1,Foshan NationStar Optoelectronics,0402,,25mA Colorless Transparent Lens 13mcd~30mcd 615nm~635nm -30℃~+85℃ Red 130° 65mW 1.6V~2.6V 0402 LED Indication - Discrete ROHS,yes,40,20,0.0316,1.26,https://www.lcsc.com/product-detail/led-indication-discrete_foshan-nationstar-optoelectronics-ncd0402r1_C130719.html
C5365642,A2541HWR-3P,CJT(Changjiang Connectors),"Push-Pull,P=2.54mm",,"2.54mm 3A Single Row Gold 3P -40℃~+105℃ Brass 250V Bend-in 1x3P Side 2.5mm Square Hole Push-Pull,P=2.54mm Female Headers ROHS",yes,37,37,0.0621,2.30,https://www.lcsc.com/product-detail/female-headers_cjt-changjiang-connectors-a2541hwr-3p_C5365642.html
C2906054,PM200-1-05-W-4.3,HCTL,"Push-Pull,P=2mm",,"2mm Single Row 1.5A Brass 5P -40℃~+105℃ Bend-in 1x5P Side 4.3mm Square Hole Push-Pull,P=2mm Female Headers ROHS",yes,29,29,0.1258,3.65,https://www.lcsc.com/product-detail/female-headers_hctl-pm200-1-05-w-4-3_C2906054.html
C5174608,TM1812B,TM(Shenzhen Titan Micro Elec),SOP-16,,SOP-16 LED Drivers ROHS,yes,5,5,0.1250,0.63,https://www.lcsc.com/product-detail/led-drivers_tm-shenzhen-titan-micro-elec-tm1812b_C5174608.html
C27899,SN65HVD485EDR,Texas Instruments,SOIC-8,,Transceiver 10Mbps SOIC-8 RS-485 / RS-422 ICs ROHS,yes,2,1,0.3998,0.80,https://www.lcsc.com/product-detail/rs-485-rs-422-ics_texas-instruments-sn65hvd485edr_C27899.html
C84051,TC4056A,Shenzhen Fuman Elec,SOP-8-EP,,SOP-8-EP Battery Management ROHS,yes,20,10,0.0412,0.82,https://www.lcsc.com/product-detail/battery-management_shenzhen-fuman-elec-tc4056a_C84051.html
C182078,LMR14030SDDAR,Texas Instruments,SO-8-EP,,Step-down type Adjustable 800mV~28V 3.5A 4V~40V SO-8-EP DC-DC Converters ROHS,yes,5,1,0.3846,1.92,https://www.lcsc.com/product-detail/dc-dc-converters_texas-instruments-lmr14030sddar_C182078.html
C21882411,TM512AE0,TM(Shenzhen Titan Micro Elec),SOP-8,,SOP-8 LED Drivers ROHS,yes,15,5,0.1583,2.37,https://www.lcsc.com/product-detail/led-drivers_tm-shenzhen-titan-micro-elec-tm512ae0_C21882411.html
C5174489,TM512AC,TM(Shenzhen Titan Micro Elec),SSOP-10,,SSOP-10 LED Drivers ROHS,yes,105,5,0.2593,27.23,https://www.lcsc.com/product-detail/led-drivers_tm-shenzhen-titan-micro-elec-tm512ac_C5174489.html
C2691448,PZ254V-11-04P,XFCN,"Plugin,P=2.54mm",,"250V 3A Direct Insert Policy 2.5mm 4P 6mm -40℃~+105℃ 3mm 2.54mm Single Row Black 1x4P Plugin,P=2.54mm Pin Headers ROHS",yes,40,20,0.0198,0.79,https://www.lcsc.com/product-detail/pin-headers_xfcn-pz254v-11-04p_C2691448.html
C8598,B5819W SL,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOD-123,,40V 600mV@1A 1A SOD-123 Schottky Diodes ROHS,yes,20,20,0.0241,0.48,https://www.lcsc.com/product-detail/schottky-diodes_jiangsu-changjing-electronics-technology-co-ltd-b5819w-sl_C8598.html
C2890354,GT-TCB73B-H048-L1,G-Switch,Plugin,,None Without 50mA 4.5mm 100MΩ 100000 Times 12V 250gf 4.5mm 4.8mm Round Button Horizontal Plug SPST Plugin Tactile Switches ROHS,yes,10,10,0.0495,0.50,https://www.lcsc.com/product-detail/tactile-switches_g-switch-gt-tcb73b-h048-l1_C2890354.html
C3000211,HC-RJ45-055-4,HCTL,SMD,,RJ45Receptacle Shielded 1 Sinking board Gold Phosphor Bronze Without LED -40℃~+85℃ SMD Ethernet Connectors / Modular Connectors (RJ45 RJ11) ROHS,yes,5,5,0.2074,1.04,https://www.lcsc.com/product-detail/ethernet-connectors-modular-connectors-rj45-rj11_hctl-hc-rj45-055-4_C3000211.html
C62892,UMH3N,"Jiangsu Changjing Electronics Technology Co., Ltd.",SC-70-6(SOT-363),,"100@1mA,5V 150mW 100mA 50V SC-70-6(SOT-363) Digital Transistors ROHS",yes,10,10,0.0422,0.42,https://www.lcsc.com/product-detail/digital-transistors_jiangsu-changjing-electronics-technology-co-ltd-umh3n_C62892.html
C19738,MAX485ESA+T,Analog Devices Inc./Maxim Integrated,SOIC-8,,Transceiver 2.5Mbps SOIC-8 RS-485 / RS-422 ICs ROHS,yes,2,1,0.7725,1.55,https://www.lcsc.com/product-detail/rs-485-rs-422-ics_analog-devices-inc-maxim-integrated-max485esa-t_C19738.html
C431540,MSK12C02,SHOU HAN,SMD,,"Horizontal attachment 50mA Single Pole Double Throw (SPDT) 12V 10,000 times SMD Slide Switches ROHS",yes,20,10,0.0504,1.01,https://www.lcsc.com/product-detail/slide-switches_shou-han-msk12c02_C431540.html
C5242196,X6511WRS-03H-C60D48,XKB Connection,"SMD,P=2.54mm",,"Gold 250V 3A Policy 2.5mm 3P -40℃~+105℃ 2.54mm Brass Black Single Row 2.54mm 1x3P SMD,P=2.54mm Pin Headers ROHS",yes,20,10,0.0420,0.84,https://www.lcsc.com/product-detail/pin-headers_xkb-connection-x6511wrs-03h-c60d48_C5242196.html
C124187,BAT760-7,Diodes Incorporated,SOD-323,,30V 550mV@1A 1A SOD-323 Schottky Diodes ROHS,yes,20,10,0.0359,0.72,https://www.lcsc.com/product-detail/schottky-diodes_diodes-incorporated-bat760-7_C124187.html
C2908448,JL2EDGB-50804G01,JILN,P=5.08mm,,300V 15A 4 Straight Needle -40℃~+150℃ 1 5.08mm 1x4P Green Terminal/Plug P=5.08mm Pluggable System Terminal Block ROHS,yes,3,1,0.5406,1.62,https://www.lcsc.com/product-detail/pluggable-system-terminal-block_jiln-jl2edgb-50804g01_C2908448.html
C509073,VEML3328,Vishay Intertech,SMD-4P,,16 SMD-4P Ambient Light Sensors ROHS,yes,4,1,1.1799,4.72,https://www.lcsc.com/product-detail/ambient-light-sensors_vishay-intertech-veml3328_C509073.html
C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,,5A USB 3.1 1 Horizontal attachment 16P Mother -25℃~+85℃ Type-C SMD USB Connectors ROHS,yes,20,10,0.0528,1.06,https://www.lcsc.com/product-detail/usb-connectors_shou-han-type-c-16pin-2md-073_C2765186.html
C2927799,DW01A,YONGYUTAI,SOT-23-6,,-300mV~8V Lithium-ion/Polymer 1 SOT-23-6 Battery Management ROHS,yes,40,20,0.0289,1.16,https://www.lcsc.com/product-detail/battery-management_yongyutai-dw01a_C2927799.html
C481667,MAX485ED,HTC Korea TAEJIN Tech,SOP-8,,SOP-8 RS-485 / RS-422 ICs ROHS,yes,5,5,0.3065,1.53,https://www.lcsc.com/product-detail/rs-485-rs-422-ics_htc-korea-taejin-tech-max485ed_C481667.html
C91197,ST485BDR,STMicroelectronics,SOIC-8,,Transceiver 2.5Mbps SOIC-8 RS-485 / RS-422 ICs ROHS,yes,2,1,0.4907,0.98,https://www.lcsc.com/product-detail/rs-485-rs-422-ics_stmicroelectronics-st485bdr_C91197.html
C5242546,X4611WRS-05I-C40D44,XKB Connection,"SMD,P=2mm",,"Gold 250V 3A Policy 2mm 5P -40℃~+105℃ 2mm Brass Black Single Row 2mm 1x5P SMD,P=2mm Pin Headers ROHS",yes,15,5,0.0698,1.05,https://www.lcsc.com/product-detail/pin-headers_xkb-connection-x4611wrs-05i-c40d44_C5242546.html
C265096,S04B-PASK-2(LF)(SN),JST,"Push-Pull,P=2mm",,"1x4P 4P PA Tin 4 -25℃~+85℃ 3A 1 2mm Copper alloy Bend-in Push-Pull,P=2mm Wire To Board Connector ROHS",yes,5,5,0.1181,0.59,https://www.lcsc.com/product-detail/wire-to-board-connector_jst-s04b-pask-2-lf-sn_C265096.html
C784544,TC5050RGBW4D06-4CJHR3-AFW421A,TCWIN,SMD5050,,"3800K~4200K -40℃~+85℃ Red,Emerald,Blue,White 200mW SMD5050 LED Indication - Discrete ROHS",yes,10,5,0.0567,0.57,https://www.lcsc.com/product-detail/led-indication-discrete_tcwin-tc5050rgbw4d06-4cjhr3-afw421a_C784544.html
C964632,CP2102N-A02-GQFN28R,SKYWORKS/SILICON LABS,QFN-28-EP(5x5),,USB to UART QFN-28-EP(5x5) USB Converters ROHS,yes,1,1,1.9146,1.91,https://www.lcsc.com/product-detail/usb-converters_skyworks-silicon-labs-cp2102n-a02-gqfn28r_C964632.html
C726773,SMAJ6.5CA,TWGMC,SMA(DO-214AC),,35.7A 400W 11.2V 7.22V Bidirectional 6.5V SMA(DO-214AC) ESD and Surge Protection (TVS/ESD) ROHS,yes,20,20,0.0318,0.64,https://www.lcsc.com/product-detail/esd-and-surge-protection-tvs-esd_twgmc-smaj6-5ca_C726773.html
C86534,XC6220B331MR-G,Torex Semicon,SOT-25-5,,"50dB@(1kHz) 1A Fixed 3.3V Positive electrode 6V SOT-25-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,7,1,0.4267,2.99,https://www.lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_torex-semicon-xc6220b331mr-g_C86534.html
C78284,BSS138,"Jiangsu Changjing Electronics Technology Co., Ltd.",SOT-23,,"50V 220mA 6Ω@4.5V,0.22A 350mW 800mV@1mA 1 N-channel SOT-23 MOSFETs ROHS",yes,20,20,0.0184,0.37,https://www.lcsc.com/product-detail/mosfets_jiangsu-changjing-electronics-technology-co-ltd-bss138_C78284.html
C713968,MF1/4W-33Ω±1%T52,Huaxing Mechanical-Elec.,"Plugin,D2.3xL6.5mm",,"Metal Film Resistors 33Ω 250mW ±200ppm/℃ ±1% Plugin,D2.3xL6.5mm Through Hole Resistors ROHS",yes,100,100,0.0062,0.62,https://www.lcsc.com/product-detail/through-hole-resistors_huaxing-mechanical-elec-mf1-4w-33-1-t52_C713968.html
C710209,3004UM2C/L7277I5L6U27-T,Everlight Elec,"SMD,0.9x3mm",,"20mA Colorless Transparent Lens Side Adhesive -40℃~+85℃ White 115° 110mW SMD,0.9x3mm LED Indication - Discrete ROHS",yes,30,10,0.0670,2.01,https://www.lcsc.com/product-detail/led-indication-discrete_everlight-elec-3004um2c-l7277i5l6u27-t_C710209.html
C129161,BCR320UE6327,Infineon Technologies,SC-74-6,,16V 1 Linear constant current drive 250mA 25V SC-74-6 LED Drivers ROHS,yes,14,1,0.2482,3.47,https://www.lcsc.com/product-detail/led-drivers_infineon-technologies-bcr320ue6327_C129161.html
C699473,HL-EMC-3030D46W-2C-S1-HR3,HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)),SMD3030,,150mA 3000K Foggy yellow lens -40℃~+85℃ Positive Stick White 120° 1.156W 6.8V SMD3030 LED Indication - Discrete ROHS,yes,20,10,0.0473,0.95,https://www.lcsc.com/product-detail/led-indication-discrete_honglitronic-hongli-zhihui-honglitronic-hl-emc-3030d46w-2c-s1-hr3_C699473.html
C917589,X4611WRS-02I-C40D28,XKB Connection,"SMD,P=2mm,Surface Mount，Right Angle",,"Gold 250V 3A Policy 2mm 2P -40℃~+105℃ 2mm Single Row Black Brass 2mm 1x2P SMD,P=2mm,Surface Mount，Right Angle Pin Headers ROHS",yes,20,10,0.0497,0.99,https://www.lcsc.com/product-detail/pin-headers_xkb-connection-x4611wrs-02i-c40d28_C917589.html
C178531,EEEFK1C100R,PANASONIC,"SMD,D4xL5.8mm",,"10uF 16V 67.5mA@120Hz ±20% SMD,D4xL5.8mm Aluminum Electrolytic Capacitors - SMD ROHS",yes,5,5,0.0871,0.44,https://www.lcsc.com/product-detail/aluminum-electrolytic-capacitors-smd_panasonic-eeefk1c100r_C178531.html
C693904,MHS171UGCT,MEIHUA,0805,,20mA Colorless Transparent Lens Side Adhesive -40℃~+85℃ 515nm~530nm Emerald 140° 95mW 0805 LED Indication - Discrete ROHS,yes,30,10,0.0502,1.51,https://www.lcsc.com/product-detail/led-indication-discrete_meihua-mhs171ugct_C693904.html
C124641,3314J-1-200E,BOURNS,"SMD,4.5x4.5mm",,"±20% ±100ppm/℃ 250mW 20Ω SMD,4.5x4.5mm Potentiometers, Variable Resistors ROHS",yes,3,1,0.5203,1.56,https://www.lcsc.com/product-detail/potentiometers-variable-resistors_bourns-3314j-1-200e_C124641.html
C5440667,XL-4008WWC,XINGLIGHT,"SMD,4x1.4mm",,"30mA 3000K Yellow lens -40℃~+85℃ Side Adhesive White 90° 30mW 2.9V~3.3V SMD,4x1.4mm LED Indication - Discrete ROHS",yes,330,10,0.0329,10.86,https://www.lcsc.com/product-detail/led-indication-discrete_xinglight-xl-4008wwc_C5440667.html
C123008,UMH3NTN,ROHM Semicon,SOT-363,,"100@1mA,5V 150mW 100mA 50V SOT-363 Digital Transistors ROHS",yes,10,10,0.0548,0.55,https://www.lcsc.com/product-detail/digital-transistors_rohm-semicon-umh3ntn_C123008.html
C492410,PZ254R-11-02P,XFCN,"Push-Pull,P=2.54mm",,"Bend-in Policy 2.5mm 2P 6mm -40℃~+105℃ 2.54mm Single Row Black Brass 1x2P Push-Pull,P=2.54mm Pin Headers ROHS",yes,50,50,0.0132,0.66,https://www.lcsc.com/product-detail/pin-headers_xfcn-pz254r-11-02p_C492410.html
C917441,HL-5050RGBW-S1,HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)),SMD5050,,"20mA 4750K~5300K -35℃~+85℃ Positive Stick Red,Emerald,Blue,White 120° SMD5050 LED Indication - Discrete ROHS",yes,30,10,0.0584,1.75,https://www.lcsc.com/product-detail/led-indication-discrete_honglitronic-hongli-zhihui-honglitronic-hl-5050rgbw-s1_C917441.html
C693902,MHS171WDT-C2,MEIHUA,0805,,20mA Foggy yellow lens Side Adhesive -40℃~+85℃ White 140° 75mW 0805 LED Indication - Discrete ROHS,yes,30,10,0.0560,1.68,https://www.lcsc.com/product-detail/led-indication-discrete_meihua-mhs171wdt-c2_C693902.html
C504893,VEML7700-TR,Vishay Intertech,SMD-4P,,SMD-4P Ambient Light Sensors ROHS,yes,4,1,1.0036,4.01,https://www.lcsc.com/product-detail/ambient-light-sensors_vishay-intertech-veml7700-tr_C504893.html
C393937,SK12D07VG4,SHOU HAN,Plugin,,500mA Single Pole Double Throw (SPDT) 50V 5 Thousand Times Plugin Slide Switches ROHS,yes,60,20,0.0215,1.29,https://www.lcsc.com/product-detail/slide-switches_shou-han-sk12d07vg4_C393937.html
C209629,EDZVT2R12B,ROHM Semicon,SOD-523,,Independent Type 11.74V~12.24V 150mW 12V SOD-523 Zener Diodes ROHS,yes,20,20,0.0257,0.51,https://www.lcsc.com/product-detail/zener-diodes_rohm-semicon-edzvt2r12b_C209629.html
C7063,SN75176BDR,Texas Instruments,SOIC-8,,Transceiver SOIC-8 RS-485 / RS-422 ICs ROHS,yes,5,5,0.0989,0.49,https://www.lcsc.com/product-detail/rs-485-rs-422-ics_texas-instruments-sn75176bdr_C7063.html
C2906032,PM200-1-02-Z-4.3,HCTL,"Plugin,P=2mm",,"2mm Single Row 1.5A Brass 2P -40℃~+105℃ Direct Insert 1x2P 4.3mm Top Square Hole Plugin,P=2mm Female Headers ROHS",yes,20,5,0.0846,1.69,https://www.lcsc.com/product-detail/female-headers_hctl-pm200-1-02-z-4-3_C2906032.html
C693903,MHS171CRCT,MEIHUA,0805,,20mA Colorless Transparent Lens Side Adhesive -40℃~+85℃ 617.5nm~629.5nm Red 140° 60mW 0805 LED Indication - Discrete ROHS,yes,30,10,0.0466,1.40,https://www.lcsc.com/product-detail/led-indication-discrete_meihua-mhs171crct_C693903.html
C131126,MAX3280EAUK+T,Analog Devices Inc./Maxim Integrated,SOT-23-5,,Receivers 52Mbps SOT-23-5 RS-485 / RS-422 ICs ROHS,yes,5,1,0.9577,4.79,https://www.lcsc.com/product-detail/rs-485-rs-422-ics_analog-devices-inc-maxim-integrated-max3280eauk-t_C131126.html
C351784,AMS1117-3.3,PUOLOP,SOT-223-3,,"800mA Fixed 3.3V Positive electrode 18V SOT-223-3 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",yes,10,10,0.0461,0.46,https://www.lcsc.com/product-detail/voltage-regulators-linear-low-drop-out-ldo-regulators_puolop-ams1117-3-3_C351784.html
C2830320,FS8205A,TECH PUBLIC,SOT-23-6,,"20V 6A 25mΩ@2.5V,3A 1.5W 500mV@250uA 2 N-Channel SOT-23-6 MOSFETs ROHS",yes,10,10,0.0379,0.38,https://www.lcsc.com/product-detail/mosfets_tech-public-fs8205a_C2830320.html
C968211,BZX584C9V1,Yangzhou Yangjie Elec Tech,SOD-523(SC-79),,Independent Type 8.5V~9.6V 9.1V SOD-523(SC-79) Zener Diodes ROHS,yes,50,50,0.0180,0.90,https://www.lcsc.com/product-detail/zener-diodes_yangzhou-yangjie-elec-tech-bzx584c9v1_C968211.html
C49661,2.54-1*2P,BOOMELE(Boom Precision Elec),"Plugin,P=2.54mm",,"2.54mm Single Row 2P Direct Insert 1x2P Plugin,P=2.54mm Female Headers ROHS",yes,60,20,0.0352,2.11,https://www.lcsc.com/product-detail/female-headers_boomele-boom-precision-elec-2-54-1-2p_C49661.html
C85100,B560C-13-F,Diodes Incorporated,SMC(DO-214AB),,60V 700mV@5A 5A SMC(DO-214AB) Schottky Diodes ROHS,yes,5,5,0.1264,0.63,https://www.lcsc.com/product-detail/schottky-diodes_diodes-incorporated-b560c-13-f_C85100.html
C202311,BQ21040DBVR,Texas Instruments,SOT-23-6,,6.45V Lithium-ion/Polymer 1 800mA SOT-23-6 Battery Management ROHS,yes,5,5,0.2933,1.47,https://www.lcsc.com/product-detail/battery-management_texas-instruments-bq21040dbvr_C202311.html
C693906,MHS171UBCT,MEIHUA,0805,,5mA Colorless Transparent Lens Side Adhesive -40℃~+85℃ 467nm~476nm Blue 140° 75mW 0805 LED Indication - Discrete ROHS,yes,30,10,0.0509,1.53,https://www.lcsc.com/product-detail/led-indication-discrete_meihua-mhs171ubct_C693906.html
